C3-ID,Container (C2-ID),Component Name,Responsibilities,Key Inputs,Key Outputs,Interfaces/Protocols,Data Store,Status/Notes
C3-01.01,C2-01,API Controller,Expose resonance endpoints and RPCs; route commands/queries.,API requests,Command messages; query responses,REST/gRPC,-,Stable
C3-01.02,C2-01,Schema & Policy Guard,"Validate payloads, rate/cap limits, ethics pre-check gates.",Incoming commands,Validated commands or rejections,JSON-Schema; Policy rules,-,Stable
C3-01.03,C2-01,Command Handler,"Coordinate create/update jobs, enqueue recomputes.",Validated commands,Jobs to Engine/Recompute,Internal bus,-,Stable
C3-01.04,C2-01,Resonance Engine,Compute R = I × A × e^(−λΔt); produce W weights.,"CP, alignment, λ",Resonance events; weights W_i,In-proc; event bus,In-memory cache,Core
C3-01.05,C2-01,Sublinear Mapper,Map contribution points to weights W = CP^α (0<α<1).,"CP, α",Weights W_i,In-proc,-,Core
C3-01.06,C2-01,Anomaly Detector,Detect spam/sybil/outliers in resonance signals.,Event streams,Flags; alerts,Stream processor,-,Planned
C3-01.07,C2-01,Recompute Worker,"Batch decay, snapshot recompute, backfill.",Recompute jobs,Updated resonance snapshots,Worker queue,Snapshot store,Stable
C3-01.08,C2-01,Event Publisher,"Publish ResonanceUpdated, WeightComputed.",Engine outputs,Domain events,Kafka/NATS (event bus),-,Stable
C3-02.01,C2-02,API Controller,Accept contributions; query CP ledger.,Contribution requests,Ack; CP queries,REST/gRPC,-,Stable
C3-02.02,C2-02,Contribution Validator,"Validate structure, signatures, duplicates.",Raw contributions,Validated contributions or errors,In-proc,-,Stable
C3-02.03,C2-02,CP Calculator,Compute contribution points (CP) from validated inputs.,Validated contributions,CP events,In-proc,-,Core
C3-02.04,C2-02,Voting Weight Calculator,Derive provisional W for governance visibility.,"CP, α",Provisional W,In-proc,-,Planned
C3-02.05,C2-02,PoC Ledger,Immutable CP ledger; state history.,CP events,Ledger snapshots,Append-only store,PoC-DB,Core
C3-02.06,C2-02,Ethics Preflight Client,Call Ethics Guard for alignment gate.,Contribution metadata,Preflight decision,HTTP RPC,-,Stable
C3-02.07,C2-02,Event Publisher,"Publish ContributionSubmitted, CPUpdated.",CP events,Domain events,Kafka/NATS,-,Stable
C3-03.01,C2-03,Proposal Engine,Create/update proposals with references and IDs.,CreateProposal commands,ProposalCreated events,REST; events,Governance-DB,Core
C3-03.02,C2-03,Quorum & Threshold Logic,"Evaluate quorum, thresholds, sublinear weights.",Votes; policy params,Vote validity decisions,In-proc,-,Core
C3-03.03,C2-03,Voting Service,Cast and record votes; prevent double voting.,Vote commands,VoteCast; VoteTallied,REST/gRPC,Governance-DB,Core
C3-03.04,C2-03,Execution Manager,Apply accepted decisions to downstream systems.,DecisionRecorded,Execution tasks,Workers; webhooks,-,Core
C3-03.05,C2-03,Parameter Versioning,"Manage λ, α, q, θ versions; propagate.",Param change requests,ParamsVersioned events,REST; events,MetaGov-DB,Stable
C3-03.06,C2-03,Audit Trail Writer,Persist auditable governance logs.,Event stream,Audit records,Log sink,Audit-DB,Stable
C3-04.01,C2-04,QF Engine,Compute quadratic matching and allocations.,Donations; participation,Matching results,In-proc,-,Core
C3-04.02,C2-04,Payout Orchestrator,Execute payouts (stream/escrow/milestones).,Approved allocations,Payout transactions,Workers; chain adapter,Treasury-DB,Core
C3-04.03,C2-04,Reserve Manager,Manage reserves & rebalancing policy.,Policy; market data,Rebalance orders,Scheduler,Treasury-DB,Planned
C3-04.04,C2-04,Compliance & Risk Checks,Run AML/risk rules; integrate Security.,Payout intents,Approve/hold flags,Service call to C2-10,-,Stable
C3-04.05,C2-04,On-Chain Adapter,Interface to Bitcoin/Lightning or custodians.,Payout orders,Broadcasted tx; receipts,Bitcoin RPC/Lightning,-,Core
C3-05.01,C2-05,DID Manager,Issue and resolve decentralized identifiers.,Identity requests,DID docs,DID methods,PoCI-DB,Core
C3-05.02,C2-05,Credential Issuer (VC/SBT),Issue Verifiable Credentials / Soulbound Tokens.,Attestation data,VC/SBT artifacts,OIDC/VC,PoCI-DB,Core
C3-05.3,C2-05,Reputation Graph,Maintain trust/reputation graph.,Attestations; events,Graph updates,Graph API,Graph-Store,Core
C3-05.04,C2-05,Sybil Resistance,Proof-of-uniqueness & linkage checks.,Identity proofs,Sybil score,In-proc; ZK,-,Planned
C3-05.05,C2-05,Verifier,Verify credentials and signatures.,VC/SBT; signatures,Verification result,REST,-,Stable
C3-06.01,C2-06,Sync Orchestrator,Coordinate hub↔core synchronization.,Local changes,Sync jobs,gRPC/websocket,Hub-Store,Core
C3-06.02,C2-06,CRDT Resolver,Merge concurrent updates safely.,Conflicting states,Resolved state,In-proc,Hub-Store,Core
C3-06.03,C2-06,Project Registry,Register projects & milestones.,Project submissions,Project records,REST,Hub-DB,Stable
